word	Complex Substance (Locke) <> Mixed Modes (Locke)	Concrete (Brysbaert et al 2014) <> Abstract (Brysbaert et al 2014)	Concrete (HGI) <> Abstract (HGI)	Hard Seed (Heuser & Le-Khac 2012) <> Abstract Values (Heuser & Le-Khac 2012)	Pre-1150 Words (Underwood & Sellars 2012) <> Post-1150 Words (Underwood & Sellars 2012)	Specific Complex Substance (Locke) <> General Complex Substance (Locke)	fpm	lang	pos	rank	ConcAbs (Locke)	ConcAbs (HGI)	lemma	perc_caps	pos_byu	rank_byu
ruptures	-0.00593792914879	-0.0927935801447	-0.055036207660999995	-0.127218261361	0.027806325815599997	0.0021799550741	1.14840475822		n	20351	Neither	Neither	rupture	0.04	nn2	45397
rural	0.00365699036047	-0.00033015385268	0.0354492086917	0.093809556216	-0.049593025818499996	0.0142886838876	7.452885475669999	fro	j	7330	Neither	Neither	rural	0.08	jj	2086
rush	-0.0305655822158	-0.106862291694	-0.23144856840300002	-0.145367495716	-0.21056015044399998	-0.024189523421200003	3.6486710850099997	eng	v	11331	Neither	Concrete	rush	0.33	nn1	4645
rushed	-0.0841842591763	-0.10668890178200001	-0.176491960883	-0.131778456271	-0.170499250293	-0.10332580655899999	3.13349728843		v	12358	Neither	Concrete	rush	0.01	vvd	6852
rushes	-0.134652025998	-0.271945238113	-0.284837335348	-0.216814160347	-0.28231360018199997	-0.0966934636235	1.8848998587299999		n	16206	Concrete	Concrete	rush	0.03	vvz	12295
rushing	-0.0750405527652	-0.12097113206900001	-0.186042197049	-0.147470705211	-0.20432267338	-0.0290041640401	1.7241397111400003	eng	v	16885	Neither	Concrete	rush	0.08	vvg	4815
russet	-0.201795950532	-0.3373349607	-0.259681284428	-0.204942591488	-0.29663012921799997	-0.179238498211	0.835527346423	eng	n	23419	Concrete	Concrete	russet	0.22	jj	30985
russian	-0.146414428949	-0.07132699340580001	-0.0661763120443	-0.018277094699400004	0.0114098361228	0.027042368427	5.36345751418		j	9040	Concrete	Neither	russian	1.0	jj	1672
russians	-0.18398620188200002	-0.06289462931459999	-0.0794110819697	-0.0313005726784	0.018922533840000002	0.012147508328799999	5.363818577869999		n	9039	Concrete	Neither	russian	1.0	nn2	5105
rust	-0.0442819520831	-0.10335373506000001	-0.140966124832	-0.0634992364794	-0.139181286096	0.022138222120699998	3.5238858809300004	eng	n	11545	Neither	Neither	rust	0.21	nn1	14134
rustic	-0.047239836305400004	-0.0560144223273	0.00387483322993	0.0776787884533	-0.0848969556391	-0.00584440177773	2.7929756462299995	eng	j	13195	Neither	Neither	rustic	0.08	jj	12729
rusty	-0.169377148152	-0.267855390907	-0.237055636943	-0.229292221367	-0.260284587741	-0.116480045021	1.63745209299	eng	j	17307	Concrete	Concrete	rusty	0.47	jj	12678
rut	-0.0729901157319	-0.163974575698	-0.16883305460200002	-0.13552472740399998	-0.17856393009399998	-0.051988787949099995	2.87447940383	eng	v	12992	Neither	Concrete	rut	0.12	nn1	18263
rye	-0.18982639163800002	-0.256323799491	-0.211166478693	-0.158854715526	-0.193873934448	-0.115242000669	5.53745854577	eng	n	8842	Concrete	Concrete	rye	0.37	nn1	21239
sabbath	0.002296060964	-0.0008940930129049999	0.048901343718099996	0.0196701409295	-0.09048801288010001	0.0622501522303	23.4340760345		n	3246	Neither	Neither	sabbath	0.92	nn1	15672
sabbaths	-0.00249178649392	0.0145864966325	0.0365634560585	-0.00441668462008	-0.125485468656	-0.014057565247599999	2.3906662729400003		n	14351	Neither	Neither	sabbath	0.64	nn2	87902
sable	-0.10979655757500001	-0.212654814124	-0.159894235432	-0.159870050848	-0.178255289793	-0.139277592301	6.14442429179		j	8292	Neither	Concrete	sable	0.44	jj	35227
sac	0.051577672362400004	0.0164036648348	0.0433929357677	-0.0149993994273	0.10838971659600001	0.0774788670242	13.620707395799998	eng	f	4863	Neither	Neither	sac	0.46	nn1	21828
sacerdotal	0.00179714785191	0.0951005294919	0.11952117457999999	0.101801667362	0.141852863133	0.0966193638742	1.89644705875	eng	j	16155	Neither	Neither	sacerdotal	0.0	jj	86765
sack	-0.191609188915	-0.334271430969	-0.305501490832	-0.21674970537399998	-0.30123306810899997	-0.170159839094	6.88637648992	eng	n	7707	Concrete	Concrete	sack	0.08	nn1	7802
sackcloth	-0.09116336703299999	-0.110106926411	-0.092405602336	-0.104579232633	-0.231539085507	-0.115426763892	2.14879398121	eng	n	15161	Neither	Neither	sackcloth	0.04	nn1	61520
