word	Complex Substance (Locke) <> Mixed Modes (Locke)	Concrete (Brysbaert et al 2014) <> Abstract (Brysbaert et al 2014)	Concrete (HGI) <> Abstract (HGI)	Hard Seed (Heuser & Le-Khac 2012) <> Abstract Values (Heuser & Le-Khac 2012)	Pre-1150 Words (Underwood & Sellars 2012) <> Post-1150 Words (Underwood & Sellars 2012)	Specific Complex Substance (Locke) <> General Complex Substance (Locke)	fpm	lang	pos	rank	ConcAbs (Locke)	ConcAbs (HGI)	lemma	perc_caps	pos_byu	rank_byu
a	-0.021676485426699997	-0.06649352610119999	-0.0044159780955	-0.0471939593554	-0.06531912088399999	0.046242564916699994	17640.010932	enm	d	6	Neither	Neither	a	0.06	at	4
abandon	0.133911363781	0.209685668349	0.0230769170448	0.144312150777	0.0907809436321	0.0481251813471	13.3205562399	eng	v	4926	Abstract	Neither	abandon	0.02	vv0	6691
abandoned	0.06833512708549999	0.210272923112	0.127084463835	0.196901701391	0.101440049708	0.0878067947924	24.9627195552	eng	v	3087	Neither	Neither	abandon	0.03	vvn	5647
abandoning	0.16013855487099998	0.216599851846	0.12206049635999999	0.156764037907	0.150180801749	0.05907425098119999	2.92872139302		v	12857	Abstract	Neither	abandon	0.07	vvg	12157
abandons	0.144083149731	0.173432022333	0.0713482648134	0.11440852657	0.0304190721363	0.120895966887	0.861788657736		v	23099	Abstract	Neither	abandon	0.02	vvz	29840
abate	0.148587219418	0.113349273801	-0.0378713328391	0.082991424948	0.0262852627784	0.0423530992121	11.0058954658	eng	v	5617	Abstract	Neither	abate	0.2	vv0	32217
abated	0.07121575996280001	0.0603269971907	0.010921367909699999	0.0175139945932	-0.0031849741935700004	-0.015591319184700001	10.7084756681		v	5725	Neither	Neither	abate	0.0	vvn	34828
abatement	0.158885627985	0.076909352094	0.0846047401428	0.08662272244689999	0.13579431176200002	0.0979592762888	6.53531655791	eng	n	7969	Abstract	Neither	abatement	0.08	nn1	23963
abatements	0.203567199409	0.146447703243	0.148123674095	0.125914737582	0.19447679817699998	0.106932338328	0.902058771877		n	22656	Abstract	Abstract	abatement	0.0	nn2	64055
abates	0.0953371822834	0.0213490431196	-0.013441049261000001	-0.0129267559387	-0.0237343907357	0.0750224292278	2.12973434938		n	15227	Neither	Neither	abate	0.0	vvz	67593
abating	0.114279296249	0.0761461965739	0.0250159120188	0.0368831474334	0.059375008568199994	-0.0019803726463599996	2.07334725369	eng	v	15424	Neither	Neither	abate	0.0	vvg	43256
abbess	-0.150720365345	-0.06663669832050001	-0.00893258210271	0.0675992481411	-0.0103801931255	-0.0967086963356	2.6863137340400005		n	13466	Concrete	Neither	abbess	0.45	nn1	44139
abbey	-0.235231466592	-0.155235677957	-0.09959516674289999	-0.0613293498755	-0.025849119760099997	-0.07176088169219999	15.6373251269	eng	n	4401	Concrete	Neither	abbey	0.8	nn1	13379
abbeys	-0.166241943836	-0.0457886364311	-0.0197839969769	-0.00509570259601	0.07201644405720001	-0.00657855486497	2.51272656518		n	13966	Concrete	Neither	abbey	0.02	nn2	73438
abbot	-0.204348199069	-0.08506312593810002	-0.0286085177213	0.0211904710158	0.0284493006766	-0.0862049646675	17.3595333942	eng	n	4044	Concrete	Neither	abbot	0.46	nn1	33954
abbots	-0.188183315098	-0.0326360315085	0.015859132167	0.0149113005027	0.059423666447400006	-0.0323288273066	4.3997647958699995		n	10192	Concrete	Neither	abbot	0.06	nn2	63181
abdicated	-0.018237561453099998	0.08871067315339999	0.0458733495325	0.0538695678114	0.12353376299100001	0.0138440993615	1.4351633870200002		v	18385	Neither	Neither	abdicate	0.0	vvn	55588
abdication	0.06272245198490001	0.114870388061	0.12121704965800001	0.10662119463099999	0.226073428988	0.0249435044825	1.4856365174700001		n	18092	Neither	Neither	abdication	0.03	nn1	38031
abdomen	-0.11803990974999999	-0.233602672815	-0.163954228162	-0.228278361261	-0.006662318948659999	0.0882435664535	8.048676592180001	eng	n	6968	Neither	Concrete	abdomen	0.01	nn1	13312
abdominal	-0.062107458710699996	-0.147999793291	-0.11278315633500001	-0.175361990929	0.066229224205	0.10519641637800001	1.81321918042	eng	j	16506	Neither	Neither	abdominal	0.05	jj	14151
abet	0.0519302841276	0.127441793681	0.0156348240561	0.0897442810238	0.101031523198	0.00353494941373	1.23355900434	eng	v	19717	Neither	Neither	abet	0.16	vv0	50391
abetted	0.0677878707647	0.204414434731	0.129263378679	0.17260129749800002	0.222351372242	0.054031284526000006	0.881244340256	eng	v	22881	Neither	Abstract	abet	0.04	vvn	39829
abetting	0.07020021975039999	0.137050226331	0.0942740477622	0.0971906222402	0.151214405894	0.0008485115831729999	1.0138221992		v	21575	Neither	Neither	abet	0.01	vvg	36680
abhor	0.158455662429	0.232611298562	0.112376570702	0.22224737703800002	-0.00331725890283	0.113367456943	8.50771868578	eng	v	6718	Abstract	Neither	abhor	0.01	vv0	37421
abhorred	0.08884360268710001	0.244364902377	0.181993193925	0.21564555913199998	0.0374554116279	0.125563178211	6.15215100005	eng	v	8283	Neither	Abstract	abhor	0.01	vvd	50061
abhorrence	0.294578447938	0.268641322851	0.257993757725	0.325890257954	0.17388228327100003	0.14023733139	9.51974979391	eng	n	6210	Abstract	Abstract	abhorrence	0.01	nn1	50920
abhors	0.150597788393	0.20737769454799998	0.134254671633	0.19857078790600002	0.0026964491116799995	0.157571844756	2.2565994185900005		v	14794	Abstract	Abstract	abhor	0.05	vvz	44801
abide	0.032681392505799996	0.08619334176200001	-0.014420179883000001	-0.0036155977286599994	-0.119040191174	-0.0327407158911	19.0573306852	eng	v	3780	Neither	Neither	abide	0.02	vv0	13498
abides	0.0273972256109	0.026845167391	-0.011014054995	-0.0560216419399	-0.157209999859	0.0446506515145	1.4788640058200002		v	18124	Neither	Neither	abide	0.01	vvz	50761
abiding	0.08062349632389999	0.0789807401598	0.100873339921	0.020976633764800003	-0.0323666203767	0.0483424775302	4.156693733969999	eng	v	10518	Neither	Neither	abiding	0.02	jj	20209
abilities	0.316794261336	0.230348616838	0.275231942535	0.295343577862	0.25167629122699997	0.189460590482	32.6973078221		n	2476	Abstract	Abstract	ability	0.02	nn2	4850
ability	0.30851699411899997	0.22954522073199998	0.247889213264	0.195652842522	0.174458265304	0.181401364505	18.6206729978	eng	n	3833	Abstract	Abstract	ability	0.01	nn1	802
abject	0.111561965198	0.245606012642	0.23820463568000003	0.277118265629	0.121938183904	0.199291549623	2.4778966977900003	eng	j	14079	Neither	Abstract	abject	0.02	jj	24337
abjure	0.07210217788810001	0.151834838092	0.0257988199592	0.113341744989	0.0647158306092	-0.0114936663304	2.11397573304	eng	v	15282	Neither	Neither	abjure	0.0	vv0	79924
abjured	0.0416073650121	0.15741943568	0.113232128322	0.117340799421	0.105459082871	-0.0010619031963899999	1.61241966472	eng	v	17429	Neither	Neither	abjure	0.0	vvd	93724
able	0.06855372339480001	0.146716840565	0.128065779805	0.0753947235644	0.042277032509500004	0.09758717194199999	252.30004605599999	eng	j	352	Neither	Neither	able	0.0	jj	360
ably	0.0849062055349	0.153917796909	0.148185953497	0.132803738118	0.100969288498	0.101841393858	2.12496119916		a	15246	Neither	Abstract	ably	0.01	rr	33443
aboard	-0.198890075088	-0.196179248393	-0.21332513540999998	-0.147585093976	-0.155251853168	-0.163164429366	7.704559721360001	eng	a	7174	Concrete	Concrete	aboard	0.04	ii	6295
abode	-0.00572170037776	-0.0495836772024	-0.0639634355903	-0.0499436743557	-0.08080584555869999	-0.0557477548719	17.8146170345	eng	n	3959	Neither	Neither	abode	0.04	nn1	30149
abodes	-0.0358860306442	0.00857959175483	-0.0359180215746	0.006719449069350001	-0.08958418667310002	0.039314899593599996	2.0827444761300002		n	15395	Neither	Neither	abode	0.05	nn2	63889
abolish	0.12581497803400002	0.207324184478	0.057692738249900004	0.12255164608300001	0.20256015658399998	0.148163087666	3.43327102447	eng	v	11712	Abstract	Neither	abolish	0.06	vv0	18033
abolished	0.052227357402400004	0.161640152335	0.107203122229	0.0616027787328	0.153957225383	0.11213696748	7.18053423589		v	7494	Neither	Neither	abolish	0.01	vvn	18527
abolishing	0.126220211387	0.17026950418900003	0.13288423419	0.09064420685170001	0.213460743427	0.111669674516	1.9893976526400003		v	15779	Abstract	Abstract	abolish	0.06	vvg	27796
abolition	0.161896057427	0.181304261089	0.156419046223	0.106179520487	0.275621801615	0.129392009228	2.34581615017	eng	n	14489	Abstract	Abstract	abolition	0.06	nn1	19463
abominable	0.08876803517339998	0.23501258343400003	0.211693868041	0.229221895337	0.06518594920630001	0.148731291294	10.7483144499	eng	j	5709	Neither	Abstract	abominable	0.15	jj	35396
abomination	0.027925412170599996	0.0791040100157	0.0831547230482	0.105373892933	-0.0617456361651	0.0574805364013	5.0930829035	eng	n	9356	Neither	Neither	abomination	0.12	nn1	31552
abominations	0.052451092749800005	0.099195919931	0.052194211632000005	0.103577420116	-0.0500099789351	0.0186384227127	4.74149822621		n	9728	Neither	Neither	abomination	0.09	nn2	58718
abortion	0.0345385409892	-0.032641408965	-0.00308415840845	-0.0139588848688	0.033290609717299996	0.016703506931700002	1.24255851349	eng	n	19656	Neither	Neither	abortion	0.06	nn1	2454
abortive	0.0805710144341	0.11512150243	0.09202970191839999	0.0402831751854	0.09069085866219999	0.051802579313500005	3.2547107933499997	eng	j	12089	Neither	Neither	abortive	0.0	jj	37239
abound	0.0329124480486	0.07425651699300001	0.007578057236970001	0.0674523208291	-0.0634321011603	0.0432675033808	18.1934315408	eng	v	3901	Neither	Neither	abound	0.02	vv0	12624
abounded	0.0268064094708	0.08502132073049999	0.0454658195376	0.0727875009179	-0.035095086321199995	0.030402240343400003	4.51027053938		v	10025	Neither	Neither	abound	0.0	vvd	45004
abounding	0.0047216998646	0.055683627724699994	0.0566804334521	0.06240587681530001	-0.006717326468800001	0.046411626041	7.0458814161	eng	v	7595	Neither	Neither	abound	0.03	vvg	62625
abounds	0.00039993063546699993	0.00813457544426	0.00822746090125	0.0291717723012	-0.017752723768299998	0.04045727849	10.790262981300001		v	5694	Neither	Neither	abound	0.01	vvz	29933
about	-0.134103477001	-0.12534813955399998	-0.105251602829	-0.18828857690099998	-0.164450824261	-0.0965977087617	784.65561199	enm	p	126	Concrete	Neither	about	0.02	ii	50
above	-0.056165246292900005	-0.0373342521489	-0.0255278954282	-0.0895032919943	-0.0775211751461	0.00925378967076	393.025030606	eng	p	238	Neither	Neither	above	0.09	ii	824
aboveground	-0.183115169406	-0.23644912988000003	-0.20391082018599999	-0.228340379894	-0.206173583865	-0.0369591694325	2.11252488143	eng	n	15290	Concrete	Concrete	aboveground	0.04	jj	32263
abovementioned	-0.0630576871336	0.0034880573511999998	0.0352670326829	-0.0578909143805	0.136813648045	-0.0233210241422	34.6808791432		j	2339	Neither	Neither	abovementioned	0.0	jj	73950
abreast	-0.145510047674	-0.224854588508	-0.200211122632	-0.21845972538000002	-0.186595685781	-0.149071373045	1.7154761663999998		a	16925	Concrete	Concrete	abreast	0.01	jj	24084
abridge	0.146167747676	0.137041434646	0.0042304232483699996	0.108936846256	0.161478757858	0.0587188806385	2.77380717057	eng	v	13257	Abstract	Neither	abridge	0.04	vv0	58450
abridged	0.09285188838839999	0.134614661336	0.113053653389	0.08474174886939999	0.209598310292	0.060637552291099996	2.66111870288	eng	v	13538	Neither	Neither	abridged	0.09	jj	49022
abridgment	0.0925838239491	0.0436996817589	0.08919668570160001	0.0748096741736	0.21138148009799998	0.0459622535855	2.76145244246		n	13283	Neither	Neither	abridgment	0.19	nn1	73402
abroad	-0.0434599779546	0.0387048292905	-0.00195732840803	0.0089833191596	-0.0639111436904	0.0281698154286	72.6868886428		a	1188	Neither	Neither	abroad	0.04	rr	3914
abrogate	0.149501457811	0.180545203387	0.0555887296796	0.121569640934	0.19114704430100002	0.146580286324	0.990791649903	eng	v	21798	Abstract	Neither	abrogate	0.01	vv0	50269
abrogated	0.0634199287742	0.165982112289	0.128246247768	0.07991474494339999	0.187275350093	0.113119531423	2.10453045737	eng	v	15324	Neither	Abstract	abrogate	0.0	vvn	58455
abrupt	0.0528341885656	0.0809829831123	0.107889950275	0.09018442034719999	0.039983144029900004	-0.0165003661532	1.87963948461	eng	j	16226	Neither	Neither	abrupt	0.03	jj	11855
abruptly	0.0157887244132	0.0122021767311	0.00148385250941	0.024403292685700004	-0.045799260959	-0.08666059747339999	2.78750980926	eng	a	13213	Neither	Neither	abruptly	0.09	rr	6367
abs	0.0308176381513	3.072433175e-05	0.030619434081099996	-0.00899451109582	0.065662285313	0.0331530021503	1.31504534387		n	19131	Neither	Neither	abs	0.33	nn1	13528
abscess	-0.012762072961799998	-0.180559672415	-0.10119304806	-0.160980522633	0.0567067191005	0.071676041931	3.0921346513700003	eng	n	12460	Neither	Neither	abscess	0.02	nn1	30963
abscesses	-0.022196057252599998	-0.129105083644	-0.0765650011599	-0.159526593983	0.0600943490862	0.0808655284345	1.29253655575		n	19291	Neither	Neither	abscess	0.05	nn2	49239
absconded	-0.0738823264837	-0.018695243634299998	-0.0380001757294	-0.022810133174	-0.0312636122108	-0.058571523055499994	0.7803108977509999		v	24136	Neither	Neither	abscond	0.04	vvd	66123
absence	0.094333793968	0.100494127721	0.06277280673380001	0.082556463778	0.058832040056600005	-0.0307060908526	34.149789988	enm	n	2376	Neither	Neither	absence	0.01	nn1	2843
absent	-0.0197988264262	0.0940045043826	0.07918128743760001	0.031425980851099995	0.009979191236209998	0.0156847219914	20.4090137029	eng	j	3599	Neither	Neither	absent	0.08	jj	6942
absented	-0.010255375877000001	0.109750568867	0.053801773116	0.04950235039	0.04353035427630001	-0.041245199739900006	0.796030052906		v	23916	Neither	Neither	absent	0.0	vvd	96833
absolute	0.172113671899	0.266144230962	0.262382820249	0.18890910595600002	0.23672664165500001	0.159778833389	54.508461894899995	eng	j	1560	Abstract	Abstract	absolute	0.05	jj	3719
absolutely	0.180593177676	0.249887935817	0.22902542352699998	0.158416420222	0.19076099246800002	0.173373870551	60.609296929399996	eng	a	1416	Abstract	Abstract	absolutely		rr	973
absolution	0.154810748994	0.11132363975	0.11053248867399999	0.0737081952393	0.108824498952	-0.00654521514661	5.3307182795		n	9081	Abstract	Neither	absolution	0.05	nn1	36504
absolve	0.130787752569	0.188082903623	0.0609174687416	0.10231377184399999	0.0788831375539	0.0230170646683	3.2982133063999997	eng	v	12005	Abstract	Neither	absolve	0.02	vv0	39534
absolved	0.0858195126056	0.175457961857	0.128450378776	0.101169750094	0.11351051181600001	0.023514598608	2.7127256228900003	eng	v	13393	Neither	Abstract	absolve	0.01	vvn	47545
absorb	0.022877979092299997	-0.047153532505	-0.133626930416	-0.0628320574761	0.049624407664	0.145772904157	1.14085026581	eng	v	20426	Neither	Neither	absorb	0.0	vv0	7343
absorbed	0.013451695674999998	0.033984221518099995	0.0016785261686900002	-0.0309469001367	0.060936033725800004	0.167290568351	2.63728382103	eng	v	13598	Neither	Neither	absorb	0.01	vvn	8061
absorbent	-0.0309402709826	-0.11765859648600001	-0.06448834016919999	-0.09327592700719999	0.08761175349349999	0.121238939464	1.8160512997299998	eng	j	16494	Neither	Neither	absorbent	0.06	jj	41152
absorption	0.08812355250119999	-0.029803643003099997	0.00525132147595	-0.0462858621031	0.186540752649	0.165867432952	0.866973844015	eng	n	23040	Neither	Neither	absorption	0.03	nn1	11350
abstain	0.0819643884897	0.16923213005100002	0.048011060804099996	0.132367670537	0.029627895914	0.10525529459100001	5.82698402151	eng	v	8582	Neither	Neither	abstain	0.02	vv0	28034
abstained	0.0416400041431	0.126817218959	0.0617882497609	0.075406383723	0.015772128012	0.06923309713600001	0.9119886091539999		v	22560	Neither	Neither	abstain	0.0	vvd	41639
abstaining	0.127243299037	0.156412906944	0.123626358807	0.143795788289	0.0691438578069	0.14314473420399998	1.17336077638		v	20159	Abstract	Neither	abstain	0.05	vvg	43181
abstinence	0.13558420538899998	0.119147378951	0.12235447391899999	0.175837494433	0.0639200191945	0.127091832459	3.3141034842900003	eng	n	11954	Abstract	Neither	abstinence	0.08	nn1	13578
abstract	0.19803260266800002	0.17103900015299997	0.219893977046	0.159110620618	0.291983887553	0.204508557916	2.3195126577400003	eng	n	14584	Abstract	Abstract	abstract	0.25	jj	4754
abstracted	0.231104664505	0.270104035735	0.299676939845	0.21189020574099998	0.274138912558	0.29980352521	0.969640631403	eng	v	21990	Abstract	Abstract	abstract	0.01	vvn	42092
abstruse	0.217477247119	0.219850309193	0.273498252034	0.17991964519	0.221017569303	0.182670757174	1.85872825438	eng	j	16309	Abstract	Abstract	abstruse	0.02	jj	51456
absurd	0.19227586686599998	0.33659683168000004	0.346135243774	0.30493658781	0.255959048867	0.248121976852	32.873281382600005	eng	j	2457	Abstract	Abstract	absurd	0.03	jj	7633
absurdities	0.21899202465999998	0.21426755189899999	0.233343981206	0.20032069087	0.18753468990299998	0.18284094333700002	6.35036100036		n	8105	Abstract	Abstract	absurdity	0.03	nn2	40257
absurdity	0.244622461498	0.230480358004	0.280903384089	0.259444922209	0.22101893276	0.22638572007399999	14.397557237100001		n	4684	Abstract	Abstract	absurdity	0.01	nn1	19626
absurdly	0.11122218892	0.24706131219900002	0.234888210893	0.212943285704	0.13904941827	0.163571134209	1.82520745123	eng	a	16439	Neither	Abstract	absurdly	0.03	rr	24399
abundance	0.0011922264238800001	-0.012980411760499999	0.00548010354396	0.00451343180611	-0.12517677619999998	-0.00277924293187	35.0443613097	eng	n	2315	Neither	Neither	abundance	0.03	nn1	6890
abundant	0.134404443205	0.16491927206499998	0.19609363377099998	0.119130816311	0.0123903320637	0.06565421074630001	11.290208482999999	eng	j	5529	Abstract	Abstract	abundant	0.05	jj	7935
abundantly	0.119038105011	0.17566765099800002	0.17381016910100003	0.104122009129	0.0296190101653	0.10771444439899999	18.5950827495		a	3838	Abstract	Abstract	abundantly	0.01	rr	23297
abuse	0.258031353355	0.267869457603	0.17526369541900003	0.274395540356	0.142075568437	0.168921858072	29.513401739699997	eng	v	2701	Abstract	Abstract	abuse	0.08	nn1	1753
abused	0.12118900567299999	0.232311591506	0.16654805094	0.194081410766	0.0453241355717	0.0753748826682	17.7451640129	eng	v	3970	Neither	Abstract	abuse	0.02	vvn	7578
abuses	0.157361499965	0.17934502661200002	0.144470199943	0.198693543673	0.186754748226	0.09496251866250001	14.018317077		n	4765	Abstract	Abstract	abuse	0.02	nn2	10129
abusing	0.146012596786	0.204118192196	0.137601308525	0.174319453538	0.0760746747255	0.0661708936095	3.94848273302		v	10824	Abstract	Abstract	abuse	0.03	vvg	15496
abusive	0.0839387066663	0.179860070348	0.168193273247	0.26454257965100003	0.09433556348089998	0.028045330196700004	1.9960611523099998	eng	j	15748	Neither	Abstract	abusive	0.02	jj	9351
abut	-0.10110718384400001	-0.127721317113	-0.123815964907	-0.137495033443	-0.13333015889	-0.0527528971433	1.3309469038	eng	v	19027	Neither	Neither	abut	0.01	vv0	46048
abyss	0.0174516653642	-0.0266296574846	-0.046784561127399996	-0.050966627895800004	-0.0800502188503	0.162481270731	5.3150480018	eng	n	9100	Neither	Neither	abyss	0.1	nn1	16382
academic	0.0539274793119	0.0520127546042	0.127995848656	0.155160143972	0.11410028487400001	0.08008864521980001	0.8179905171009999	eng	j	23632	Neither	Abstract	academic	0.08	jj	1322
academies	-0.00336711714044	0.036676984280400005	0.101788718254	0.11347474902799999	0.148844197392	0.04892169311649999	1.77291535648		n	16665	Neither	Neither	academy	0.26	nn2	19431
academy	-0.0601304862648	-0.06992425397039999	0.0402439627796	0.0497601814568	0.171070344746	0.0187011910602	10.345513257	eng	n	5867	Neither	Neither	academy	0.77	nn1	2500
accede	0.108002655208	0.144915029407	0.055111295543599996	0.10585785284600001	0.260602369905	0.0610623825342	1.4916339759000001	eng	v	18051	Neither	Neither	accede	0.01	vv0	39385
acceded	0.0365963671356	0.115571092814	0.061711650341800005	0.0471657961607	0.23987533897100002	0.011908201850000001	1.21990363737		v	19817	Neither	Neither	accede	0.0	vvd	48314
accelerate	0.11594737693700001	0.0721416175365	-0.0364756593481	-0.014982305932799998	0.147637195886	0.120654854924	1.29681847857	eng	v	19262	Neither	Neither	accelerate	0.02	vv0	11068
accelerated	0.0566185154021	0.00487802503631	0.0072530567413000005	-0.0192872094922	0.165549546481	0.11683741211899999	2.0296115928900003	eng	v	15599	Neither	Neither	accelerated	0.06	jj	14954
accelerating	0.0861267000437	0.043594088405300005	0.00866317958571	-0.018512376584099998	0.210580527782	0.157176114619	0.7549958806829999	eng	v	24465	Neither	Neither	accelerating	0.05	jj	16450
accent	0.06111798062919999	-0.024520852603000003	0.030968716368100002	0.0744444094599	0.005692071441450001	-0.0117314336821	5.33635886555	eng	n	9076	Neither	Neither	accent	0.05	nn1	5920
accented	-0.00361385731958	-0.0730892904103	-0.00020063726697499998	-0.07054922357210001	0.0512861255557	0.010714203585	0.919371044852	eng	v	22492	Neither	Neither	accent	0.01	vvd	30172
accents	0.03810740076	-0.0051031913608299995	0.021774861030299998	0.0244911126792	-0.0915125198662	-0.019093239679900002	4.08711033078		n	10609	Neither	Neither	accent	0.05	nn2	13601
accept	0.13851737231	0.15573471784600001	0.0732454881072	0.130313470959	0.05783856846390001	0.0111201265827	46.1247176936	eng	v	1827	Abstract	Neither	accept	0.01	vv0	1610
acceptable	0.14282567054	0.224521271884	0.25976639986	0.215556666255	0.0994917452335	0.0967272147537	25.3818519305	eng	j	3059	Abstract	Abstract	acceptable	0.02	jj	3990
acceptably	0.129144687205	0.149396434426	0.146969988942	0.142523050308	0.019598220009299998	0.124374821782	1.0642900309799999	eng	a	21082	Abstract	Abstract	acceptably	0.02	rr	53760
acceptance	0.24077446013700002	0.152441196144	0.184909284115	0.121893249452	0.12762735784	0.0293668024242	18.073636832200002	eng	n	3922	Abstract	Abstract	acceptance	0.04	nn1	4170
accepted	0.07916510850189999	0.135050542652	0.138976059854	0.103597331792	0.0806164294481	0.013462834525799999	34.7461982769	eng	v	2334	Neither	Abstract	accept	0.03	vvn	3329
accepting	0.16668676585	0.185357220471	0.154362969101	0.128299191594	0.139774061739	0.018825399689400002	6.929797388169999	eng	v	7681	Abstract	Abstract	accept	0.05	vvg	5558
accepts	0.12874606251700002	0.103673700244	0.09684303030369999	0.07340503484010001	0.0325662530959	0.057802321389300006	3.0509727085500002		v	12557	Abstract	Neither	accept	0.07	vvz	9428
access	0.09140789508819999	0.0802119858563	0.054368382319800006	0.0462809465825	0.0516054946929	-0.026753797195799997	15.2730908371	eng	n	4475	Neither	Neither	access	0.06	nn1	1024
accessible	-0.005866811610760001	0.041644429788	0.0557539835573	0.00602108007295	0.0400775577873	0.0595253240317	1.05714660811	eng	j	21154	Neither	Neither	accessible	0.01	jj	5293
accession	0.060822922736400005	0.0741058439017	0.046167284250300006	0.021897808648599998	0.179215617478	0.018209607340400003	10.3537747156	eng	n	5863	Neither	Neither	accession	0.05	nn1	23830
accessory	0.118977773935	0.17699988186299997	0.14875498414000002	0.08488295972349999	0.226314380765	0.14388833939999998	1.1610776386200001	eng	j	20249	Neither	Abstract	accessory	0.06	nn1	21309
accident	0.058259954676	-0.0264125838876	0.00738940178417	-0.027768589556200002	0.0472613256425	0.07239365577700001	35.6267661575	eng	n	2284	Neither	Neither	accident	0.02	nn1	2327
accidental	0.11195234581800001	0.136367499828	0.16934958845400003	0.06322594732049999	0.188785545528	0.165025301278	9.94358198753	eng	j	6042	Neither	Abstract	accidental	0.07	jj	10032
accidentally	-0.0754095166922	-0.103965446353	-0.0663939490914	-0.11208806932	-0.0704785957932	-0.0563531909138	6.974735984880001	eng	a	7642	Neither	Neither	accidentally	0.02	rr	9195
accidents	0.11948839574999999	0.07776353880760001	0.0720551088452	0.00370986585039	0.112669490278	0.14067447185499998	19.9075449222		n	3666	Neither	Neither	accident	0.04	nn2	6259
acclamation	0.0775675103068	0.0424190945923	0.112175874412	0.129227548838	0.057877354323899996	0.040771236643199996	0.7408289278669999		n	24649	Neither	Neither	acclamation	0.03	nn1	56757
accommodate	0.132345825434	0.171284556389	0.06685630977149999	0.10383880138399999	0.17057026177700002	0.0959603637458	4.94386928761	eng	v	9489	Abstract	Neither	accommodate	0.0	vv0	5626
accommodated	0.08781797811389999	0.143064923585	0.136441886425	0.0841220766306	0.170185476541	0.090602632612	5.380566483330001	eng	v	9013	Neither	Abstract	accommodate	0.0	vvn	22237
accommodating	0.18578954040999998	0.19280761480300002	0.178777612746	0.144101448357	0.232595741749	0.08487805724150001	1.1614268063	eng	v	20247	Abstract	Abstract	accommodate	0.04	vvg	16748
accommodation	0.10656278953	0.101799648255	0.09960860013980001	0.10469642281500001	0.188143327832	0.054606817662699994	11.495210348599999	eng	n	5450	Neither	Neither	accommodation	0.06	nn1	11831
accommodations	0.091347552836	0.06780851632360001	0.0778376571834	0.124172531068	0.09655188396569998	0.0703767705709	2.2675531208		n	14760	Neither	Neither	accommodation	0.07	nn2	9710
accompanied	0.00732575869187	0.061971552670000006	0.0953100919724	0.0492481496185	0.07063060626389998	-0.0532337836922	35.6549292811	eng	v	2281	Neither	Neither	accompany	0.02	vvn	5216
accompanies	0.137366712093	0.10567792132500001	0.125072047114	0.0581192839891	0.0845087915659	0.102904804051	2.79161219941		v	13200	Abstract	Neither	accompany	0.0	vvz	17136
accompany	0.0848346538841	0.111914839595	0.024821678176500002	0.0315765589476	0.048289934173300006	-0.018167884089099997	13.3243406392		v	4925	Neither	Neither	accompany	0.02	vv0	8849
accompanying	0.0850117988885	0.0947597809136	0.07615956291560001	0.00179892603773	0.079796846956	-0.021656247787200003	3.27427486802		v	12051	Neither	Neither	accompanying	0.05	jj	8378
accomplice	0.034650997258699995	0.049385925754899994	0.0731334500014	0.0817113742233	0.07810528203839999	-0.00429479207378	1.7930207944599998	eng	n	16589	Neither	Neither	accomplice	0.01	nn1	22862
accomplices	-0.0276232250035	0.0637337975204	0.040601255372199996	0.017408501822500002	0.0746368505061	-0.047854844480800005	4.46736297474		n	10083	Neither	Neither	accomplice	0.02	nn2	30141
accomplish	0.18543472886100001	0.219431944192	0.0766726061702	0.094528514892	0.16931704431699998	0.134671218694	9.185593070669999	eng	v	6361	Abstract	Neither	accomplish	0.0	vv0	5193
accomplished	0.10420620441400001	0.199660114943	0.196113437414	0.135795697569	0.145782791078	0.13264395296599998	13.7708530328	eng	v	4823	Neither	Abstract	accomplish	0.01	vvn	5736
accomplishing	0.208458997309	0.179539866745	0.147694140673	0.0769196636975	0.176563687623	0.129822038114	2.0517556492099995		v	15512	Abstract	Abstract	accomplish	0.06	vvg	19114
accomplishment	0.24322845786800001	0.204502016306	0.227133162319	0.14329521358	0.189645551145	0.163315989077	6.44069394248	eng	n	8035	Abstract	Abstract	accomplishment	0.02	nn1	9018
accomplishments	0.243562862277	0.168816804886	0.222037293017	0.282173469663	0.201280899346	0.17427095025800002	4.73826700659		n	9734	Abstract	Abstract	accomplishment	0.06	nn2	8090
accord	0.0490370169282	0.0583385489881	0.00968442927115	0.00400287716184	-0.008742565521959999	0.017754129134200002	16.0197076907	eng	n	4303	Neither	Neither	accord	0.22	nn1	8319
accorded	0.07784245908260001	0.125865221024	0.0835373140872	0.0360315330326	0.129059705883	0.030354243703099998	0.870054337166		v	23001	Neither	Neither	accord	0.0	vvn	17946
according	0.06051418930290001	0.122255723923	0.0771495997905	0.0321560613811	0.09759010374549999	0.0409265011549	393.842483714	eng	v	237	Neither	Neither	according	0.34	ii	426
accordingly	0.000513056289492	0.05617942474780001	0.058698233217000004	0.018587550148400002	0.0354954525829	0.0061996828299	102.318621634	eng	a	824	Neither	Neither	accordingly	0.45	rr	6840
accords	0.147503495216	0.12153939530300001	0.090217448771	0.09236951544880001	0.126461807639	0.0375706776977	1.04599148111		v	21269	Abstract	Neither	accord	0.26	nn2	21270
